СПРАВОЧНЫЙ ДАМП ТН ВЭД ЕАЭС
Источник: https://tnved.info/TnvedTree/
Дата получения: 2026-07-20T13:32:37+00:00
Версия источника: 05.07.2022:2
Состав: 21 разделов, 96 групп, 21163 узлов, 13287 листовых кодов

РАЗДЕЛ I
ЖИВЫЕ ЖИВОТНЫЕ; ПРОДУКТЫ ЖИВОТНОГО ПРОИСХОЖДЕНИЯ (01-05)

ИЕРАРХИЯ ТН ВЭД
I | ЖИВЫЕ ЖИВОТНЫЕ; ПРОДУКТЫ ЖИВОТНОГО ПРОИСХОЖДЕНИЯ (01-05)
  01 | ЖИВЫЕ ЖИВОТНЫЕ
    0101 | Лошади, ослы, мулы и лошаки живые:
       | – лошади:
        0101210000 | – – чистопородные племенные животные [Лошади чистопородные племенные, живые]
        010129 | – – прочие:
          0101291000 | – – – убойные [Лошади прочие убойные, живые]
          0101299000 | – – – прочие [Лошади живые, прочие]
      0101300000 | – ослы [Ослы живые]
      0101900000 | – прочие [Прочие мулы и лошаки, живые]
    0102 | Крупный рогатый скот живой:
       | – домашний крупный рогатый скот:
        010221 | – – чистопородные племенные животные:
          0102211000 | – – – нетели (самки крупного рогатого скота до первого отела) [Нетели (самки крупного рогатого скота до первого отела) живые чистопородные племенные, домашний крупный рогатый скот]
          0102213000 | – – – коровы [Коровы живые чистопородные племенные, домашний крупный рогатый скот]
          0102219000 | – – – прочие [Прочий крупный рогатый скот живой домашний, чистопородные племенные животные]
        010229 | – – прочие:
          0102290500 | – – – подрода Bibos или подрода Poephagus [Прочий крупный рогатый скот живой, домашний, подрода bibos или подрода poephagus]
           | – – – прочие:
            0102291000 | – – – – массой не более 80 кг [Прочий крупный рогатый скот живой, домашний, массой не более 80 кг]
             | – – – – массой более 80 кг, но не более 160 кг:
              0102292100 | – – – – – убойные [Прочий крупный рогатый скот живой, домашний, массой более 80 кг, но не более 160 кг, убойный]
              0102292900 | – – – – – прочие [Прочий крупный рогатый скот живой, домашний, массой более 80 кг, но не более 160 кг, прочий]
             | – – – – массой более 160 кг, но не более 300 кг:
              0102294100 | – – – – – убойные [Прочий крупный рогатый скот живой, домашний, массой более 160 кг, но не более 300 кг, убойный]
              0102294900 | – – – – – прочие [Прочий крупный рогатый скот живой, домашний, массой более 160 кг, но не более 300 кг, прочий]
             | – – – – массой более 300 кг:
               | – – – – – нетели (самки крупного рогатого скота до первого отела):
                0102295100 | – – – – – – убойные [Прочий крупный рогатый скот живой, домашний, массой более 300 кг: нетели (самки крупного рогатого скота до первого отела) убойные]
                0102295900 | – – – – – – прочие [Прочий крупный рогатый скот живой, домашний, массой более 300 кг: нетели (самки крупного рогатого скота до первого отела) прочие]
               | – – – – – коровы:
                0102296100 | – – – – – – убойные [Прочий крупный рогатый скот живой, домашний, массой более 300 кг: коровы убойные]
                0102296900 | – – – – – – прочие [Прочий крупный рогатый скот живой, домашний, массой более 300 кг: коровы прочие]
               | – – – – – прочие:
                0102299100 | – – – – – – убойные [Прочий крупный рогатый скот живой, домашний, массой более 300 кг, убойный]
                0102299900 | – – – – – – прочие [Прочий крупный рогатый скот живой, домашний, массой более 300 кг]
       | – буйволы:
        0102310000 | – – чистопородные племенные животные [Буйволы чистопородные племенные, крупный рогатый скот живой]
        010239 | – – прочие:
          0102391000 | – – – домашние виды [Прочие буйволы, домашние виды, крупный рогатый скот живой]
          0102399000 | – – – прочие [Прочие буйволы, крупный рогатый скот живой]
      010290 | – прочие:
        0102902000 | – – чистопородные племенные животные [Прочие чистопородные племенные животные, крупный рогатый скот живой]
         | – – прочие:
          0102909100 | – – – домашние виды [Прочие домашние виды, крупный рогатый скот живой]
          0102909900 | – – – прочие [Прочий крупный рогатый скот живой]
    0103 | Свиньи живые:
      0103100000 | – чистопородные племенные животные [Свиньи живые, чистопородные племенные животные]
       | – прочие:
        010391 | – – массой менее 50 кг:
          0103911000 | – – – домашние виды [Прочие свиньи живые массой менее 50 кг, домашние виды]
          0103919000 | – – – прочие [Прочие свиньи живые массой менее 50 кг]
        010392 | – – массой 50 кг или более:
           | – – – домашние виды:
            0103921100 | – – – – свиноматки массой не менее 160 кг, имевшие по крайней мере один опорос [Домашние свиноматки живые массой не менее 160 кг, имевшие по крайней мере один опорос]
            0103921900 | – – – – прочие [Прочие домашние виды живых свиней, имеющие массу 50 кг или более]
          0103929000 | – – – прочие [Прочие свиньи живые массой 50 кг или более]
    0104 | Овцы и козы живые:
      010410 | – овцы:
        0104101000 | – – чистопородные племенные животные [Овцы живые, чистопородные племенные животные]
         | – – прочие:
          0104103000 | – – – ягнята (до одного года) [Ягнята (до одного года), живые]
          0104108000 | – – – прочие [Прочие овцы живые]
      010420 | – козы:
        0104201000 | – – чистопородные племенные животные [Козы живые, чистопородные племенные животные]
        0104209000 | – – прочие [Прочие козы живые]
    0105 | Домашняя птица живая, то есть куры домашние (Gallus domesticus), утки, гуси, индейки и цесарки:
       | – массой не более 185 г:
        010511 | – – куры домашние (Gallus domesticus):
           | – – – цыплята прародительских и материнских линий племенного разведения:
            0105111100 | – – – – линии несушек [Цыплята прародительских и материнских линий племенного разведения линии несушек кур домашних вида gallus domesticus массой не более 185 г, живые]
            0105111900 | – – – – прочие [Прочие цыплята прародительских и материнских линий племенного разведения кур домашних вида gallus domesticus, массой не более 185 г, живые]
           | – – – прочие:
            0105119100 | – – – – линии несушек [Прочие домашние куры вида gallus domesticus линии несушек, массой не более 185 г, живые]
            0105119900 | – – – – прочие [Прочие домашние куры вида gallus domesticus, массой не более 185 г, живые]
        0105120000 | – – индейки [Индейки домашние живые, массой не более 185 г]
        0105130000 | – – утки [Утки домашние живые, массой не более 185 г]
        0105140000 | – – гуси [Гуси домашние живые, массой не более 185 г]
        0105150000 | – – цесарки [Цесарки домашние живые, массой не более 185 г]
       | – прочие:
        0105940000 | – – куры домашние (Gallus domesticus) [Прочие куры домашние (gallus domesticus) живые]
        010599 | – – прочие:
          0105991000 | – – – утки [Прочие утки живые]
          0105992000 | – – – гуси [Прочие гуси живые]
          0105993000 | – – – индейки [Прочие индейки живые]
